kijetesantakalu,󱦀
sitelen-namako,󶁸
kulupu-kipisi,󱽻
nasin-sitelen,󳽠
sitelen-pona,󶁔
sijelo-pali,󵭉
kulupu-pana,󷭌
kipisi-lipu,󱼪
nasin-nanpa,󳼽
sitelen-ali,󶀄
sitelen-ala,󶀂
sitelen-ike,󶀍
kipisi-mute,󱼼
linja-nanpa,󲤽
open-lukin,󴜮
lukin-open,󲹇
kulupu-tan,󴱧
pali-nanpa,󴤽
nanpa-ante,󳴆
nasin-pana,󳽌
nanpa-mute,󳴼
ante-tenpo,󰙫
ante-nanpa,󰘽
nanpa-luka,󳴭
lipu-nanpa,󲨽
kipisi-ala,󷬂
nasin-toki,󳽬
sona-nanpa,󶄽
toki-pona,󶱔
nasin-ni<,󳽁
lipu-open,󲩇
toki-seme,󶱙
nimi-pali,󴉉
nimi-open,󴉇
nanpa-wan,󳵳
ilo-nanpa,󰸽
pali-ante,󴤆
sona-pona,󶅔
pali-ni>,󴥁
pali-ni<,󰥉
sona-ni<,󶅁
nanpa-tu,󳵮
nimi-tan,󴉧
pi-nanpa,󴴽
pini-ala,󵀂
ijo-pana,󰱌
misikeke,󱦇
kokosila,󱦄
tan-mute,󶜼
pana-wan,󴱳
pana-ala,󴰂
ilo-ante,󰸆
ilo-toki,󰹬
lipu-ni>,󲨉
lipu-ni<,󲨧
lon-ala,󲰂
tan-ni<,󶝁
pi-lipu,󴴪
pi-ante,󴴆
lipu-ni,󲩁
tu\+wan,󶹳
ijo-tan,󰱧
tan-ala,󶜂
kepeken,󱤙
sitelen,󱥠
monsuta,󱥽
tenpo_,󰁫
tu\+tu,󶹮
pi-ilo,󴴎
nanpa_,󰀽
lanpan,󱦅
kalama,󱤕
kulupu,󱤟
pakala,󱥈
palisa,󱥊
pimeja,󱥏
sijelo,󱥛
sinpin,󱥟
soweli,󱥢
majuna,󱦢
namako,󱥸
kipisi,󱥻
jasima,󱥿
jo-ala,󱌂
luka_,󰀭
ante_,󰀆
wile-,󰁷
sona-,󰁡
akesi,󱤁
apeja,󱦡
kiwen,󱤛
linja,󱤩
lukin,󱤮
monsi,󱤸
nanpa,󱤽
nasin,󱤿
pilin,󱥎
tenpo,󱥫
utala,󱥱
tonsi,󱥾
epiku,󱦃
alasa,󱤃
ni<,󴄸
ken-,󰀘
-ala,󰀂
ni>,󴅟
ala-,󰤂
wan_,󰁳
insa,󱤏
jaki,󱤐
jelo,󱤒
kala,󱤔
kama,󱤖
kasi,󱤗
kili,󱤚
kule,󱤞
kute,󱤠
lape,󱤢
laso,󱤣
lawa,󱤤
lete,󱤦
lili,󱤨
lipu,󱤪
loje,󱤫
luka,󱤭
lupa,󱤯
mama,󱤱
mani,󱤲
mije,󱤵
moku,󱤶
moli,󱤷
musi,󱤻
mute,󱤼
nasa,󱤾
nena,󱥀
nimi,󱥂
noka,󱥃
olin,󱥅
open,󱥇
pake,󱦠
pali,󱥉
pana,󱥌
pini,󱥐
pipi,󱥑
poka,󱥒
poki,󱥓
pona,󱥔
powe,󱦣
sama,󱥖
seli,󱥗
selo,󱥘
seme,󱥙
sewi,󱥚
sike,󱥜
sina,󱥞
sona,󱥡
suli,󱥣
suno,󱥤
supa,󱥥
suwi,󱥦
taso,󱥨
tawa,󱥩
telo,󱥪
toki,󱥬
tomo,󱥭
unpa,󱥯
walo,󱥲
waso,󱥴
wawa,󱥵
weka,󱥶
wile,󱥷
leko,󱥼
soko,󱦁
meso,󱦂
meli,󱤳
anpa,󱤅
ante,󱤆
awen,󱤈
esun,󱤋
ilo,󱤎
jan,󱤑
ken,󱤘
kon,󱤝
len,󱤥
lon,󱤬
mun,󱤺
ona,󱥆
pan,󱥋
sin,󱥝
tan,󱥧
uta,󱥰
wan,󱥳
kin,󱥹
oko,󱥺
ike,󱤍
ala,󱤂
ale,󱤄
ali,󱤄
anu,󱤇
ijo,󱤌
tu_,󰁮
jo,󱤓
ko,󱤜
la,󱤡
li,󱤧
ma,󱤰
mi,󱤴
mu,󱤹
ni,󱥁
pi,󱥍
pu,󱥕
tu,󱥮
ku,󱦈
en,󱤊
o,󱥄
n,󱦆
a,󱤀
e,󱤉
